"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@kemkominfo Apakah nanti akan ada subsidi bantuan pemerintah untuk masyarakat Indonesia yang belum mampu membeli ST… https://t.co/aVNIPN9y9S",FALSE,0,"kemkominfo",2022-12-01 08:48:09,TRUE,"1598168770383867905","1598237502954885121","177848697","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","febri_an022",0,FALSE,FALSE,NA,NA
"2","Prabowo Subianto belum lama ini menandatangani kesepakatan antara pemerintah Indonesia dengan WHO untuk membentuk p… https://t.co/52UwahqzdJ",FALSE,0,NA,2022-12-01 08:47:59,TRUE,NA,"1598237460726546432",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RiffaAmelia1",0,FALSE,FALSE,NA,NA
"3","Astagfirullah, apakah pelayanan kesehatan di Indonesia masih seperti ini? sungguh miris, semoga pemerintah melihatn… https://t.co/emhDa4S7v0",FALSE,0,NA,2022-12-01 08:47:37,TRUE,NA,"1598237370952085504",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Serbaserbiberit",1,FALSE,FALSE,NA,NA
"4","KPM desa Cibalung Terima Bantuan dari Pemerintah yang di Salurkan Kantor Pos KPM desa Cibalung Terima Bantuan dari… https://t.co/SRSkjSCc23",FALSE,0,NA,2022-12-01 08:47:16,TRUE,NA,"1598237283341279234",NA,"<a href=""https://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","LingkarMediane5",0,FALSE,FALSE,NA,NA
"5","KPM desa Cibalung Terima Bantuan dari Pemerintah yang di Salurkan Kantor Pos KPM desa Cibalung Terima Bantuan dari… https://t.co/LEmldoTTD3",FALSE,0,NA,2022-12-01 08:47:11,TRUE,NA,"1598237260620742656",NA,"<a href=""https://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","LingkarMediane5",0,FALSE,FALSE,NA,NA
"6","KPM desa Cibalung Terima Bantuan dari Pemerintah yang di Salurkan Kantor Pos https://t.co/dUS8WmB2rR",FALSE,0,NA,2022-12-01 08:47:05,FALSE,NA,"1598237237686116353",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","LingkarMediane5",0,FALSE,FALSE,NA,NA
"7","Keren banget emg pemerintah Selandia Baru. https://t.co/Q0I3kfiRVU",FALSE,0,NA,2022-12-01 08:46:55,FALSE,NA,"1598237193339736065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","guuluugl",0,FALSE,FALSE,NA,NA
"8","#Kom11 #RUUPPSK Dolfie @PDI_Perjuangan #Jateng4 membuka Rapat Panja dengan Kementerian Koperasi dan UKM (KemenkopUK… https://t.co/vDR3BflZ5w",FALSE,0,NA,2022-12-01 08:46:54,TRUE,NA,"1598237189975908354",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","WikiDPR2",0,FALSE,FALSE,NA,NA
"9","@hanggara_sakty @Anfieldbreath @akeella_aja @VIVAcoid Lah jelas mana yg menghambat harus dijegal, dgn segala alasan… https://t.co/CtLuVo5ygF",FALSE,0,"hanggara_sakty",2022-12-01 08:46:49,TRUE,"1598192604830523392","1598237170011377665","4056936792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rifkiaries",0,FALSE,FALSE,NA,NA
"10","@CNNIndonesia Ikutlah cara yg dilakukan Pemerintah Qatar. Tolak semua yg berwarna pelangi...",FALSE,0,"CNNIndonesia",2022-12-01 08:46:49,FALSE,"1598154620898988032","1598237167213764608","17128975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syambari55",0,FALSE,FALSE,NA,NA
"11","Sudah benar langkah pemerintah Jepang ini.

LGBT salah satu faktor yg menurunkan populasi jepang https://t.co/IzfvuMBlSs",FALSE,0,NA,2022-12-01 08:46:41,FALSE,NA,"1598237135425142785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wirakid",0,FALSE,FALSE,NA,NA
"12","@democrazymedia nah loe nih apaan ?? + nyebar hoax dan jelek2in pemerintah lagi",FALSE,0,"democrazymedia",2022-12-01 08:46:38,FALSE,"1598217837876633601","1598237122095329280","1243804423001763841","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MisterCdoang",0,FALSE,FALSE,NA,NA
"13","Pemerintah siap turunkan suku bunga
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat… https://t.co/FU93bZjX8i",FALSE,0,NA,2022-12-01 08:46:26,TRUE,NA,"1598237070954475520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IntanClara20",0,FALSE,FALSE,NA,NA
