"","text"
"1"," akah    subsidi bantuan merintah  masyarakat indonesia   mam membeli st "
"2","prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"3","astagfirullah akah layanan kesehatan  indonesia  serti  sungguh miris semoga merintah melihatn "
"4","kpm desa cibalung terima bantuan  pemerintah   salurkan kantor pos kpm desa cibalung terima bantuan  "
"5","kpm desa cibalung terima bantuan  pemerintah   salurkan kantor pos kpm desa cibalung terima bantuan  "
"6","kpm desa cibalung terima bantuan  pemerintah   salurkan kantorpos "
"7","keren banget emg merintah selandia  "
"8","kom ruuppsk dolfie jateng membuka rat panja  kementerian korasi  ukm kemenkok "
"9","    yg menghambat  dijegal dgn  alasan "
"10"," ikutlah  yg  pemerintah qatar tolak  yg berwarna langi"
"11","  langkah merintah jeng inilgbt salah  faktor yg menurunkan lasi jeng "
"12","  loe nih aan   nyebar hoax  jelekin merintah "
"13","pemerintah siaturunkan suku bungajokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"14","ketegasan pemerintah  indonesia  baikjokowipresidenku pembangunanuntukrakyat presidenjokowihebat "
"15","bikin damk kecelakaan  parah pemerintah  setoperedaran bus bekas "
"16","tito karnavian pimn tim rkuhppemerintah "
"17","kebijakan merintah mengalihkan subsidi bbm  blt  tetbantuanbbmuntukrakyatbltbbmtetsasaran "
"18","prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"19","kebijakan imr daging kerbau  sa  tetadigulirkan merintah  mengabaikan     "
"20","pemerintah siamenjalankan konsolidasi fiskaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"21","prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"22","  disimak      utang bumn     utang merintah  user   "
"23"," tdk tertutukmungkinan smua  jg terjd  indonesia krn rakyat lelah bgt trs mnerus  tekan  merintah"
"24","pemerintah stikan nyaluran blt bbm tet sasaran bantuanbbmuntukrakyatbltbbmtetsasaran "
"25","bhabinkamtibmas desa sungai nyamuk melaksanakan sambang  tatamuka keda warga desa sungai nyamuk  menduk "
"26"," merintah aceh skrg   k tito jga ta masyarakat  menyisihkan "
"27","menteri keuangan sri mulyani indrawati  merintah menyiaan anggaran belanja negara  r "
"28","pemerintah china longgarkan aturan pembatasan covid  protes  covid covid "
"29","pemerintah targetkan ruu migas ramng jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"30","geser  covid pemerintah fokus  kualitas kesehatan  idn times covid covid "
"31","masyarakat berterima kasih keda merintah  nyaluran blt bbmbantuanbbmuntukrakyatbltbbmtetsasaran "
"32","  anggaran r  t pemerintah  belanjakan desember "
"33"," ya gmn rakyatnya  kai transrtasi  bangun keretanya bangun stasiunnya ta "
"34","kom ruuppsk dolfie jateng membuka rat panja  kementerian korasi  ukm kemenkok "
"35","pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"36","   aneh kalo harga ikan mahal sia yg  beli ujungnya nelayan  ternak jg "
"37"," bosen rakyat nye  boongin trs  merintah nye  kodkod  krangkeng lg  lg"
"38","pemerintah nyatakan mbangunan sdmpresident ri fathers of infrastructurejokowipresidenku "
"39"," iya  warga negara lgbt   lindung hakhaknya  artian pemerintah  bangun "
"40"," rangka giat inovasi polres raja amt  menjaga kelestarian laut  salah  ndukung obyek wisat "
"41","pemerintah siaturunkan suku bungapresident ri fathers of infrastructurejokowipresidenku "
"42","pemerintah siamenjalankan konsolidasi fiskalpresident ri fathers of infrastructurejokowipresidenku "
"43","proyek merintah tukang gak dikasih apd  udah  dikasih tau   anggaran   kontrakto "
"44"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"45"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"46"," namanya memrbaiki    tahaya     jalurnya dijalankan "
"47"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"48"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"49"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"50"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"51"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"52"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"53"," blt bbm  diluncurkan pemerintah selamat k  menerima semoga bermanfaat bantuansosial "
"54"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"55"," forkoncam kuwarasan babinsa koramil  kuwarasan serda slamet suiyono menghadiri  mendamng "
"56","  narkoba maling sendal maling rumah ramk bank membajak pesawat ngehack situs pemerin "
"57"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"58"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"59"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"60"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"61","mendukung komitmen merintah meningkatkan ketahanan ngan nasionaljokowipresidenkupembangunanuntukrakyat "
"62"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
"63"," blt bbm  merintah bertujuan  melindungi daya beli masyarakat bantuansosialbltbbm "
