"","klasifikasi","score","text"
"1","Positif",1," akah    subsidi bantuan merintah  masyarakat indonesia   mam membeli st "
"2","Netral",0,"prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"3","Positif",2,"astagfirullah akah layanan kesehatan  indonesia  serti  sungguh miris semoga merintah melihatn "
"4","Positif",4,"kpm desa cibalung terima bantuan  pemerintah   salurkan kantor pos kpm desa cibalung terima bantuan  "
"5","Positif",4,"kpm desa cibalung terima bantuan  pemerintah   salurkan kantor pos kpm desa cibalung terima bantuan  "
"6","Positif",2,"kpm desa cibalung terima bantuan  pemerintah   salurkan kantorpos "
"7","Positif",2,"keren banget emg merintah selandia  "
"8","Netral",0,"kom ruuppsk dolfie jateng membuka rat panja  kementerian korasi  ukm kemenkok "
"9","Negatif",-2,"    yg menghambat  dijegal dgn  alasan "
"10","Positif",1," ikutlah  yg  pemerintah qatar tolak  yg berwarna langi"
"11","Negatif",-2,"  langkah merintah jeng inilgbt salah  faktor yg menurunkan lasi jeng "
"12","Netral",0,"  loe nih aan   nyebar hoax  jelekin merintah "
"13","Netral",0,"pemerintah siaturunkan suku bungajokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"14","Positif",1,"ketegasan pemerintah  indonesia  baikjokowipresidenku pembangunanuntukrakyat presidenjokowihebat "
"15","Negatif",-2,"bikin damk kecelakaan  parah pemerintah  setoperedaran bus bekas "
"16","Netral",0,"tito karnavian pimn tim rkuhppemerintah "
"17","Netral",0,"kebijakan merintah mengalihkan subsidi bbm  blt  tetbantuanbbmuntukrakyatbltbbmtetsasaran "
"18","Netral",0,"prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"19","Negatif",-2,"kebijakan imr daging kerbau  sa  tetadigulirkan merintah  mengabaikan     "
"20","Netral",0,"pemerintah siamenjalankan konsolidasi fiskaljokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"21","Netral",0,"prabowo subianto    menandatangani kesekatan  merintah indonesia  who  membentuk "
"22","Netral",0,"  disimak      utang bumn     utang merintah  user   "
"23","Netral",0," tdk tertutukmungkinan smua  jg terjd  indonesia krn rakyat lelah bgt trs mnerus  tekan  merintah"
"24","Netral",0,"pemerintah stikan nyaluran blt bbm tet sasaran bantuanbbmuntukrakyatbltbbmtetsasaran "
"25","Netral",0,"bhabinkamtibmas desa sungai nyamuk melaksanakan sambang  tatamuka keda warga desa sungai nyamuk  menduk "
"26","Negatif",-1," merintah aceh skrg   k tito jga ta masyarakat  menyisihkan "
"27","Positif",1,"menteri keuangan sri mulyani indrawati  merintah menyiaan anggaran belanja negara  r "
"28","Negatif",-1,"pemerintah china longgarkan aturan pembatasan covid  protes  covid covid "
"29","Netral",0,"pemerintah targetkan ruu migas ramng jokowipresidenkupembangunanuntukrakyatpresidenjokowihebat "
"30","Positif",2,"geser  covid pemerintah fokus  kualitas kesehatan  idn times covid covid "
"31","Negatif",-2,"masyarakat berterima kasih keda merintah  nyaluran blt bbmbantuanbbmuntukrakyatbltbbmtetsasaran "
"32","Netral",0,"  anggaran r  t pemerintah  belanjakan desember "
"33","Negatif",-1," ya gmn rakyatnya  kai transrtasi  bangun keretanya bangun stasiunnya ta "
"34","Netral",0,"kom ruuppsk dolfie jateng membuka rat panja  kementerian korasi  ukm kemenkok "
"35","Positif",1,"pemerintah nyatakan mbangunan sdm  kunci nting cai indonesia emas jokowipresidenku "
"36","Netral",0,"   aneh kalo harga ikan mahal sia yg  beli ujungnya nelayan  ternak jg "
"37","Netral",0," bosen rakyat nye  boongin trs  merintah nye  kodkod  krangkeng lg  lg"
